year,team,average_batter_age,runs_per_game,games,plate_appearances,at_bats,runs,hits,doubles,triples,homeruns,RBI,stolen_bases,caught_stealing,bases_on_balls,strikeouts,batting_average,OBP,SLG,OPS,total_bases,GDP,HBP,sacrifice_hits,sacrifice_flies,IBB
2004,Hanwha Eagles,26.9,4.75,133,5150,4519,632,1213,245,17,140,605,82,58,456,923,0.268,0.34,0.423,0.764,1912,107,54,88,33,14
2004,Doosan Bears,29.2,4.56,133,5109,4485,606,1200,202,19,89,573,71,59,433,780,0.268,0.342,0.381,0.723,1707,86,96,55,40,12
2004,LG Twins,27.9,4.42,133,5081,4432,588,1150,176,24,102,554,69,48,441,892,0.26,0.337,0.379,0.716,1680,89,95,73,40,18
2004,Lotte Giants,27.4,4.01,133,5075,4462,533,1125,195,21,88,500,129,46,416,853,0.252,0.327,0.364,0.691,1626,99,92,74,31,15
2003,Samsung Lions,28.8,5.78,133,5241,4564,769,1295,236,14,213,744,56,32,481,661,0.284,0.36,0.482,0.842,2198,131,85,73,38,19
2003,Hyundai Unicorns,28.2,5.44,133,5312,4483,723,1280,208,15,175,673,75,48,543,727,0.286,0.374,0.456,0.829,2043,100,109,139,38,23
2003,Kia Tigers,26.6,4.94,133,5126,4448,657,1211,219,16,129,626,146,67,505,721,0.272,0.349,0.416,0.765,1849,72,42,94,37,18
2003,SK Wyverns,28.4,4.84,133,5157,4445,644,1208,209,16,156,612,82,57,464,763,0.272,0.35,0.431,0.781,1917,87,89,127,32,10
2003,Hanwha Eagles,26.9,4.34,133,5198,4458,577,1131,218,20,121,521,78,57,542,887,0.254,0.343,0.393,0.736,1752,89,75,102,21,22
2003,Doosan Bears,29.1,4.23,133,5165,4536,563,1251,205,21,90,541,58,36,452,706,0.276,0.346,0.39,0.736,1768,121,62,63,52,17
2003,LG Twins,27.8,3.83,133,4963,4375,509,1088,188,29,106,485,135,62,404,781,0.249,0.32,0.378,0.697,1652,90,70,74,40,11
2003,Lotte Giants,27.2,3.69,133,4987,4465,491,1143,232,18,73,451,84,66,338,848,0.256,0.317,0.365,0.682,1630,75,73,83,28,11
2002,Samsung Lions,27.8,5.84,133,5303,4648,777,1321,266,16,191,731,47,29,469,804,0.284,0.36,0.472,0.831,2192,116,97,55,34,26
2002,Hyundai Unicorns,27.8,4.95,133,5140,4444,658,1160,191,25,173,643,79,50,464,945,0.261,0.342,0.432,0.774,1920,82,99,99,34,26
2002,Kia Tigers,26.6,4.83,133,5200,4575,643,1230,220,14,120,611,155,39,454,914,0.269,0.344,0.402,0.746,1838,107,91,45,35,32
2002,SK Wyverns,27.6,4.65,133,5090,4475,618,1207,204,27,158,587,80,55,385,815,0.27,0.339,0.433,0.772,1939,94,100,96,34,15
2002,Hanwha Eagles,28.2,4.53,133,5060,4491,603,1148,206,10,170,570,94,65,446,1064,0.256,0.328,0.42,0.748,1884,106,49,52,22,22
2002,Doosan Bears,28.9,4.41,133,5083,4498,587,1173,174,21,130,556,106,42,434,794,0.261,0.331,0.396,0.726,1779,107,58,47,46,17
2002,LG Twins,27.7,4.38,133,5120,4492,583,1173,212,22,100,541,140,63,412,951,0.261,0.332,0.385,0.717,1729,91,86,93,37,29
2002,Lotte Giants,27,3.48,133,4985,4512,463,1105,206,19,85,443,76,63,324,978,0.245,0.305,0.356,0.661,1604,75,78,49,22,14
2001,Samsung Lions,27.4,5.56,133,5279,4553,739,1262,244,21,162,695,73,44,520,814,0.277,0.36,0.447,0.807,2034,111,95,69,42,27
2001,Doosan Bears,28.2,5.5,133,5303,4583,732,1266,221,26,130,688,132,34,560,697,0.276,0.359,0.421,0.78,1929,116,60,54,46,27
2001,Lotte Giants,28.3,5.4,133,5308,4521,718,1265,247,24,121,671,106,53,585,817,0.28,0.366,0.425,0.791,1923,89,60,82,60,39
2001,Hyundai Unicorns,28.3,5.35,133,5225,4445,711,1192,166,20,169,667,99,55,598,911,0.268,0.363,0.429,0.791,1905,109,76,77,29,14
2001,Kia Tigers,26.5,5.14,133,5189,4542,683,1263,221,17,142,637,92,63,497,774,0.278,0.353,0.428,0.781,1944,129,56,51,43,21
2001,LG Twins,27.9,5.03,133,5318,4521,669,1247,219,24,85,630,96,58,590,759,0.276,0.363,0.391,0.754,1769,100,52,114,41,24
2001,Hanwha Eagles,28.1,4.95,133,5259,4556,659,1255,211,15,148,628,135,65,549,877,0.276,0.357,0.426,0.783,1940,106,45,75,34,28
2001,SK Wyverns,27.2,4.48,133,5076,4400,596,1143,215,11,113,555,123,59,457,770,0.26,0.337,0.391,0.728,1719,95,71,122,26,23
2000,Hyundai Unicorns,28.1,5.84,133,5243,4481,777,1245,246,25,208,736,,,548,905,0.278,0.365,0.483,0.848,2165,89,94,74,46,
2000,Samsung Lions,27.9,5.22,133,4904,4276,694,1149,227,14,157,651,,,463,888,0.269,0.348,0.439,0.787,1875,84,78,47,40,
2000,Doosan Bears,26.9,5.22,133,5213,4590,694,1325,205,21,150,661,,,475,684,0.289,0.359,0.441,0.8,2022,120,58,43,47,
2000,LG Twins,27.3,5.01,133,5094,4379,666,1191,219,22,107,604,,,533,764,0.272,0.355,0.405,0.76,1775,89,55,84,43,
2000,Hanwha Eagles,28.3,4.93,133,4992,4425,656,1224,257,14,172,628,,,419,959,0.277,0.345,0.458,0.802,2025,125,62,45,41,
2000,Lotte Giants,28.1,4.53,133,5178,4557,603,1186,206,26,104,553,,,449,831,0.26,0.334,0.385,0.719,1756,93,66,82,24,
2000,Haitai Tigers,25.8,4.09,133,4818,4198,544,1068,199,13,82,512,,,492,789,0.254,0.336,0.367,0.703,1539,94,40,57,31,
2000,SK Wyverns,27.7,4.08,133,4586,4042,542,1059,177,22,89,496,,,378,767,0.262,0.333,0.383,0.715,1547,94,66,67,33,
1999,Lotte Giants,28.4,5.7,132,5186,4498,753,1309,261,34,145,709,,,465,815,0.291,0.363,0.461,0.824,2073,93,72,99,52,
1999,LG Twins,27.5,5.64,132,5180,4574,744,1287,218,40,145,700,,,428,772,0.281,0.35,0.442,0.792,2020,91,78,57,43,
1999,Samsung Lions,26.8,5.61,132,5148,4456,740,1218,200,14,204,697,,,479,947,0.273,0.353,0.462,0.815,2058,88,94,79,40,
1999,Hanwha Eagles,27.9,5.51,132,5050,4446,727,1266,252,29,197,685,,,429,837,0.285,0.355,0.487,0.842,2167,106,76,58,41,
1999,Haitai Tigers,26,5.45,132,4865,4212,720,1179,192,11,205,680,,,524,814,0.28,0.365,0.477,0.842,2008,99,51,57,21,
1999,Hyundai Unicorns,27.3,5.28,132,5249,4445,697,1207,186,18,142,651,,,537,778,0.272,0.36,0.417,0.777,1855,88,98,127,42,
1999,Doosan Bears,27.1,5.23,132,4997,4380,691,1266,209,30,133,668,,,461,648,0.289,0.36,0.442,0.802,1934,115,47,69,40,
1999,Ssangbangwool Raiders,28.3,3.49,132,4407,3880,461,979,151,27,81,438,,,379,805,0.252,0.325,0.368,0.693,1427,56,55,63,30,
1998,Hyundai Unicorns,27.8,4.94,126,4709,4101,622,1107,214,21,141,584,,,408,810,0.27,0.344,0.436,0.779,1786,69,72,90,38,
1998,Samsung Lions,26.3,4.92,126,4917,4263,620,1143,211,20,143,576,,,446,822,0.268,0.346,0.428,0.773,1823,103,80,90,38,
1998,LG Twins,26,4.59,126,4564,4021,578,1081,219,19,99,545,,,377,650,0.269,0.339,0.407,0.745,1635,90,64,70,32,
1998,Lotte Giants,26.9,4.19,126,4677,4096,528,1051,196,33,84,493,,,397,803,0.257,0.33,0.382,0.712,1565,72,67,87,30,
1998,OB Bears,26.3,3.96,126,4503,4033,499,1042,172,27,102,467,,,319,684,0.258,0.319,0.39,0.709,1574,85,53,65,33,
1998,Haitai Tigers,26.3,3.88,126,4671,4122,489,1066,188,8,94,466,,,367,666,0.259,0.325,0.377,0.702,1552,125,57,92,33,
1998,Hanwha Eagles,27.4,3.82,126,4503,4013,481,1012,195,10,120,455,,,313,762,0.252,0.315,0.396,0.711,1587,92,66,92,19,
1998,Ssangbangwool Raiders,28.2,3.58,126,4042,3517,451,918,147,29,86,420,,,379,630,0.261,0.335,0.393,0.728,1381,79,28,87,31,
1997,Samsung Lions,25.2,5.58,126,4761,4126,703,1158,249,21,163,653,,,442,760,0.281,0.36,0.47,0.83,1938,59,85,78,30,
1997,Haitai Tigers,26.2,4.89,126,4824,4183,616,1081,208,9,133,578,,,466,722,0.258,0.34,0.408,0.748,1706,102,67,78,30,
1997,LG Twins,25.9,4.68,126,4819,4153,590,1109,220,29,83,549,,,422,601,0.267,0.343,0.394,0.737,1636,82,90,97,57,
1997,Ssangbangwool Raiders,28.1,4.52,126,4451,3773,569,1027,190,29,101,522,,,455,624,0.272,0.355,0.418,0.773,1578,93,50,133,40,
1997,Hyundai Unicorns,27.1,4,126,4751,4096,504,1012,182,20,82,462,,,430,724,0.247,0.327,0.361,0.688,1480,93,71,124,30,
1997,OB Bears,26.5,3.98,126,4679,4136,502,1052,157,19,84,473,,,379,696,0.254,0.325,0.362,0.687,1499,95,66,68,30,
1997,Hanwha Eagles,25.8,3.75,126,4537,3932,472,998,172,18,101,434,,,379,748,0.254,0.328,0.384,0.712,1509,84,70,123,33,
1997,Lotte Giants,26.4,3.37,126,4457,3940,424,938,173,19,75,405,,,353,763,0.238,0.307,0.349,0.655,1374,88,49,86,29,
1996,Lotte Giants,26.2,4.49,126,4812,4244,566,1161,214,38,72,543,,,398,692,0.274,0.34,0.393,0.733,1667,94,50,82,38,
1996,Ssangbangwool Raiders,27.1,4.33,126,4799,4112,545,1085,192,33,58,489,,,427,691,0.264,0.34,0.369,0.709,1517,89,70,143,47,
1996,Hanwha Eagles,25.2,4.14,126,4736,4072,522,999,203,23,90,498,,,432,832,0.245,0.327,0.373,0.7,1518,93,80,118,34,
1996,Haitai Tigers,26.1,4.09,126,4484,3897,515,970,180,15,89,490,,,435,701,0.249,0.332,0.371,0.703,1447,82,63,61,28,
1996,LG Twins,25.9,4,126,4609,3981,504,992,158,18,93,473,,,422,610,0.249,0.333,0.368,0.701,1465,84,89,91,26,
1996,Hyundai Unicorns,26.3,3.91,126,4729,4127,493,1001,171,21,106,462,,,396,747,0.243,0.318,0.371,0.689,1532,66,72,104,30,
1996,Samsung Lions,26.2,3.83,126,4444,3879,482,974,184,21,84,461,,,404,752,0.251,0.33,0.374,0.705,1452,73,73,51,37,
1996,OB Bears,25.9,3.54,126,4653,4163,446,1008,179,23,82,410,,,327,721,0.242,0.305,0.355,0.66,1479,98,59,75,29,
1995,OB Bears,25.5,4.98,126,4850,4340,628,1154,203,28,106,585,,,357,741,0.266,0.326,0.399,0.725,1731,99,52,61,40,
1995,Lotte Giants,26.3,4.68,126,4830,4197,590,1071,158,51,65,553,,,447,726,0.255,0.333,0.364,0.696,1526,75,71,56,59,
1995,Samsung Lions,25.8,4.43,126,4739,4177,558,1046,199,20,94,516,,,383,722,0.25,0.325,0.375,0.7,1567,77,92,55,32,
1995,LG Twins,25.1,4.18,126,4752,4137,527,1064,170,34,79,472,,,421,621,0.257,0.334,0.372,0.706,1539,90,76,73,45,
1995,Hanwha Eagles,25.5,4.03,126,4709,4124,508,1028,204,25,96,475,,,400,740,0.249,0.323,0.381,0.703,1570,80,59,99,27,
1995,Ssangbangwool Raiders,27.4,3.78,126,4708,4154,476,1054,165,21,83,438,,,381,600,0.254,0.32,0.364,0.683,1510,74,37,103,33,
1995,Pacific Dolphins,27.1,3.51,126,4412,3901,442,915,157,18,82,419,,,372,717,0.235,0.306,0.347,0.653,1354,89,44,64,31,
1995,Haitai Tigers,26.9,3.42,126,4634,4095,431,989,154,22,75,397,,,341,675,0.242,0.309,0.345,0.654,1412,94,77,86,35,
1994,LG Twins,24.8,5.2,126,4885,4265,655,1204,205,36,88,612,,,455,573,0.282,0.358,0.409,0.767,1745,83,70,54,41,
1994,Haitai Tigers,26.3,4.44,126,4706,4207,560,1144,183,17,92,527,,,331,573,0.272,0.329,0.389,0.718,1637,75,44,87,37,
1994,Samsung Lions,27,4.29,126,4801,4161,541,1081,165,22,106,510,,,458,650,0.26,0.34,0.386,0.726,1608,96,64,79,39,
1994,Ssangbangwool Raiders,26.7,3.92,126,4664,4119,494,1025,160,20,87,455,,,377,617,0.249,0.317,0.361,0.678,1486,85,45,100,23,
1994,Lotte Giants,26.6,3.88,126,4710,4175,489,1072,180,33,58,457,,,378,672,0.257,0.323,0.357,0.68,1492,81,52,57,48,
1994,Pacific Dolphins,27,3.85,126,4637,4048,485,988,179,18,91,453,,,385,751,0.244,0.316,0.365,0.681,1476,86,53,126,25,
1994,Hanwha Eagles,26.8,3.83,126,4691,4063,482,1002,166,15,68,444,,,416,696,0.247,0.324,0.345,0.669,1402,97,63,113,36,
1994,OB Bears,25,3.79,126,4656,4113,477,1013,159,18,75,459,,,364,712,0.246,0.313,0.348,0.662,1433,76,53,93,33,
1993,Samsung Lions,27.1,4.81,126,4772,4162,606,1130,163,21,133,575,,,455,609,0.272,0.35,0.417,0.766,1734,106,65,53,37,
1993,Haitai Tigers,26.7,4.07,126,4704,4102,513,1030,169,12,95,465,,,452,606,0.251,0.33,0.368,0.698,1508,107,48,71,31,
1993,LG Twins,25.9,3.94,126,4730,4182,496,1069,176,32,74,463,,,376,594,0.256,0.323,0.366,0.689,1531,95,55,91,26,
1993,OB Bears,26.3,3.75,126,4739,4131,473,1066,176,34,59,441,,,403,611,0.258,0.328,0.36,0.688,1487,104,48,118,39,
1993,Binggre Eagles,26,3.6,126,4707,4112,454,979,179,13,81,426,,,433,743,0.238,0.316,0.347,0.663,1427,94,54,73,35,
1993,Lotte Giants,25.6,3.59,126,4674,4077,452,1013,160,38,29,422,,,389,563,0.249,0.319,0.328,0.647,1336,75,53,114,41,
1993,Ssangbangwool Raiders,26.6,2.9,126,4545,4005,366,903,138,14,46,342,,,392,733,0.226,0.302,0.301,0.603,1207,88,53,74,21,
1993,Pacific Dolphins,25.4,2.71,126,4532,4025,342,913,169,15,35,314,,,343,776,0.227,0.293,0.302,0.595,1217,100,39,104,21,
1992,Haitai Tigers,26.8,5.56,126,4903,4183,701,1139,191,16,138,659,,,559,656,0.272,0.365,0.425,0.789,1776,114,70,54,37,
1992,Lotte Giants,26,5.26,126,4903,4205,663,1213,211,62,68,619,,,483,542,0.289,0.366,0.417,0.782,1752,88,59,103,53,
1992,Binggre Eagles,26.4,5.22,126,4866,4198,658,1120,192,29,146,620,,,511,660,0.267,0.351,0.431,0.782,1808,97,58,54,45,
1992,Samsung Lions,28.4,4.94,126,4841,4184,623,1110,165,23,123,578,,,489,607,0.265,0.348,0.404,0.752,1690,90,66,58,44,
1992,OB Bears,26.4,4.34,126,4830,4225,547,1096,173,31,110,512,,,439,607,0.259,0.332,0.393,0.725,1661,92,38,96,32,
1992,LG Twins,26.4,4.11,126,4435,3923,518,1008,156,24,105,508,,,385,512,0.257,0.328,0.389,0.717,1527,104,43,57,27,
1992,Ssangbangwool Raiders,26.2,3.93,126,4578,3928,495,981,159,28,90,447,,,503,727,0.25,0.341,0.373,0.714,1466,127,52,75,20,
1992,Pacific Dolphins,27.1,3.72,126,4306,3743,469,950,178,20,75,405,,,391,575,0.254,0.33,0.372,0.702,1393,88,43,111,18,
1991,Binggre Eagles,25.9,5.11,126,4870,4222,644,1155,181,43,136,608,,,484,705,0.274,0.353,0.433,0.787,1830,92,51,84,29,
1991,Samsung Lions,28.8,5.07,126,4873,4182,639,1138,180,25,108,592,,,510,546,0.272,0.357,0.405,0.761,1692,106,59,85,37,
1991,Haitai Tigers,26.5,4.9,126,4843,4135,618,1069,171,29,144,594,,,516,589,0.259,0.35,0.418,0.768,1730,102,83,74,35,
1991,Lotte Giants,26.7,4.63,126,4812,4125,583,1072,177,47,73,533,,,457,515,0.26,0.339,0.379,0.718,1562,78,61,122,47,
1991,Ssangbangwool Raiders,25.9,4.19,126,4469,3867,528,978,191,25,85,487,,,464,685,0.253,0.34,0.381,0.722,1474,90,64,43,31,
1991,OB Bears,26.3,3.98,126,4787,4220,501,1054,169,39,59,460,,,419,639,0.25,0.321,0.35,0.671,1478,71,35,91,22,
1991,LG Twins,27.3,3.75,126,4680,4131,472,1009,158,41,53,430,,,400,476,0.244,0.317,0.341,0.658,1408,99,53,67,29,
1991,Pacific Dolphins,25.9,3.38,126,4672,4096,426,974,208,24,51,395,,,423,600,0.238,0.314,0.338,0.651,1383,80,41,85,27,
1990,Binggre Eagles,26.5,5.08,120,4627,3973,610,1074,175,24,112,560,,,495,619,0.27,0.355,0.411,0.766,1633,83,47,70,42,
1990,Samsung Lions,28.2,4.98,120,4546,3961,597,1040,169,14,131,555,,,434,534,0.263,0.341,0.412,0.752,1630,91,52,68,31,
1990,LG Twins,27.9,4.82,120,4660,4024,578,1089,156,40,61,528,,,465,450,0.271,0.352,0.375,0.727,1508,82,65,56,50,
1990,Haitai Tigers,26.3,4.48,120,4595,3952,538,1066,177,23,87,500,,,466,544,0.27,0.352,0.392,0.744,1550,100,53,95,29,
1990,Pacific Dolphins,28,4.05,120,4535,3937,486,968,177,25,47,447,,,447,551,0.246,0.328,0.339,0.667,1336,93,43,84,24,
1990,Lotte Giants,27.5,3.78,120,4520,3858,453,946,163,30,41,417,,,464,503,0.245,0.331,0.335,0.666,1292,91,48,119,31,
1990,OB Bears,26.1,3.37,120,4470,3902,404,901,153,22,62,380,,,425,562,0.231,0.31,0.329,0.639,1284,79,37,66,40,
1989,Binggre Eagles,26,4.96,120,4633,4064,595,1121,208,26,97,549,,,412,544,0.276,0.346,0.411,0.757,1672,75,48,64,45,
1989,Samsung Lions,27.2,4.83,120,4569,4024,580,1094,173,20,96,540,,,397,617,0.272,0.34,0.396,0.737,1595,78,45,56,47,
1989,Haitai Tigers,27.3,4.17,120,4564,3963,500,1011,142,10,90,472,,,470,508,0.255,0.339,0.364,0.703,1443,112,48,57,26,
1989,Pacific Dolphins,28.4,4.16,120,4621,3943,499,981,187,25,55,453,,,504,554,0.249,0.337,0.351,0.688,1383,81,40,99,35,
1989,MBC Blue Dragons,27.8,4.08,120,4549,3912,490,985,139,36,42,458,,,470,490,0.252,0.335,0.338,0.673,1322,90,40,85,42,
1989,OB Bears,27.2,3.73,120,4480,3935,447,970,165,28,42,416,,,389,560,0.247,0.319,0.335,0.653,1317,65,42,82,32,
1989,Lotte Giants,28,3.49,120,4612,3940,419,974,155,23,38,382,,,519,520,0.247,0.337,0.327,0.664,1289,89,29,97,27,
1988,Samsung Lions,27.6,4.78,108,4192,3692,516,1028,150,20,85,486,,,381,493,0.278,0.351,0.399,0.75,1473,74,42,53,24,
1988,Haitai Tigers,27.9,4.66,108,4057,3560,503,1009,134,14,112,466,,,343,374,0.283,0.351,0.423,0.774,1507,95,44,77,33,
1988,Binggre Eagles,25.9,4.57,108,3964,3504,494,939,176,20,71,451,,,316,448,0.268,0.333,0.39,0.724,1368,76,43,69,32,
1988,Lotte Giants,28.7,4.46,108,4093,3578,482,967,142,18,68,446,,,347,333,0.27,0.339,0.377,0.716,1349,81,40,104,24,
1988,OB Bears,28.2,3.87,108,4042,3584,418,923,145,25,44,387,,,321,375,0.258,0.321,0.349,0.67,1250,91,28,78,31,
1988,MBC Blue Dragons,28.4,3.78,108,4100,3652,408,951,132,27,42,373,,,321,384,0.26,0.324,0.346,0.67,1263,72,34,70,23,
1988,Pacific Dolphins,27.7,3.56,108,3947,3472,384,910,162,23,58,365,,,330,396,0.262,0.329,0.372,0.701,1292,84,26,95,24,
1987,Samsung Lions,27.2,5.4,108,4217,3731,583,1120,165,29,105,548,,,380,448,0.3,0.368,0.444,0.812,1658,88,40,26,40,
1987,Lotte Giants,28.2,4,108,4155,3625,432,970,161,27,40,400,,,390,330,0.268,0.343,0.36,0.703,1305,103,34,86,20,
1987,OB Bears,27.9,3.84,108,4009,3548,415,927,123,34,30,391,,,342,369,0.261,0.328,0.341,0.669,1208,88,24,70,25,
1987,Binggre Eagles,25,3.8,108,4054,3547,410,972,145,22,48,370,,,326,423,0.274,0.342,0.368,0.71,1305,84,54,104,23,
1987,Chungbo Pintos,28.8,3.71,108,4025,3499,401,848,151,14,54,372,,,400,502,0.242,0.323,0.34,0.663,1189,79,27,82,17,
1987,Haitai Tigers,28.1,3.64,108,4082,3609,393,910,151,12,71,368,,,335,379,0.252,0.321,0.36,0.681,1298,96,44,68,26,
1987,MBC Blue Dragons,28.7,3.59,108,4018,3566,388,919,117,38,36,359,,,296,354,0.258,0.32,0.342,0.662,1220,80,43,85,28,
1986,Samsung Lions,27.4,4.4,108,4118,3617,475,997,177,22,74,442,,,354,465,0.276,0.345,0.398,0.744,1440,74,48,68,31,
1986,Haitai Tigers,28,4.39,108,4041,3582,474,929,136,18,99,443,,,321,406,0.259,0.325,0.39,0.715,1398,82,39,76,23,
1986,MBC Blue Dragons,27.7,4.02,108,4138,3644,434,964,152,29,37,398,,,315,429,0.265,0.33,0.353,0.682,1285,63,55,89,35,
1986,Lotte Giants,27.1,3.45,108,4088,3603,373,894,140,28,37,332,,,342,357,0.248,0.316,0.333,0.649,1201,82,24,100,19,
1986,OB Bears,27.2,3.42,108,4039,3531,369,880,113,32,38,350,,,336,395,0.249,0.319,0.332,0.651,1171,70,39,104,29,
1986,Binggre Eagles,26.2,3.08,108,4004,3453,333,815,121,23,46,313,,,420,494,0.236,0.323,0.324,0.647,1120,81,30,84,17,
1986,Chungbo Pintos,27.9,2.94,108,3926,3449,318,755,138,10,66,292,,,327,519,0.219,0.293,0.322,0.615,1111,85,42,86,22,
1985,Samsung Lions,27.4,5.02,110,4241,3644,552,1005,181,22,97,514,,,402,456,0.276,0.354,0.417,0.771,1521,73,60,92,43,
1985,Haitai Tigers,27.7,4.39,110,4183,3710,483,1009,161,13,99,437,,,348,386,0.272,0.337,0.402,0.74,1493,85,33,60,32,
1985,OB Bears,26.8,4.3,110,4189,3667,473,954,147,27,67,432,,,354,442,0.26,0.331,0.37,0.701,1356,55,50,87,31,
1985,Lotte Giants,26.3,3.87,110,4137,3598,426,920,168,19,77,399,,,352,446,0.256,0.327,0.377,0.704,1357,79,47,106,34,
1985,Chungbo Pintos,28.3,3.78,110,4163,3648,416,920,159,9,73,376,,,378,457,0.252,0.328,0.361,0.689,1316,96,44,71,22,
1985,MBC Blue Dragons,27.7,3.14,110,4072,3624,345,892,127,19,37,317,,,324,452,0.246,0.313,0.322,0.635,1168,65,39,56,29,
1984,Samsung Lions,26.6,4.35,100,3754,3298,435,889,148,18,78,413,,,313,422,0.27,0.343,0.396,0.739,1307,62,63,62,18,
1984,Lotte Giants,25.9,4.05,100,3723,3265,405,840,139,20,71,374,,,326,446,0.257,0.331,0.377,0.708,1232,63,48,56,28,
1984,OB Bears,26.4,3.82,100,3659,3181,382,816,133,18,53,362,,,339,367,0.257,0.333,0.36,0.693,1144,66,43,62,34,
1984,MBC Blue Dragons,28.2,3.75,100,3753,3317,375,840,128,35,47,341,,,314,446,0.253,0.322,0.355,0.678,1179,62,40,47,35,
1984,Haitai Tigers,27.4,3.69,100,3727,3321,369,822,143,10,76,343,,,313,496,0.248,0.317,0.365,0.682,1213,87,33,39,21,
1984,Sammi Superstars,28.1,3.32,100,3689,3249,332,777,133,13,58,298,,,323,463,0.239,0.313,0.342,0.655,1110,73,33,73,11,
1983,Samsung Lions,26,4.48,100,3845,3383,448,889,143,14,90,421,,,314,427,0.263,0.333,0.393,0.726,1330,62,55,66,27,
1983,Haitai Tigers,26.3,4.2,100,3668,3276,420,880,130,15,78,387,,,292,372,0.269,0.334,0.389,0.723,1274,75,40,36,24,
1983,OB Bears,25.5,4.18,100,3766,3330,418,863,141,26,50,378,,,279,352,0.259,0.324,0.362,0.686,1206,63,50,84,23,
1983,MBC Blue Dragons,27.9,3.98,100,3607,3177,398,821,143,21,45,366,,,274,358,0.258,0.326,0.359,0.685,1141,51,57,68,31,
1983,Lotte Giants,26,3.61,100,3615,3192,361,789,127,18,77,335,,,304,411,0.247,0.318,0.371,0.689,1183,68,40,55,24,
1983,Sammi Superstars,26.3,3.45,100,3737,3317,345,814,113,14,62,315,,,282,405,0.245,0.312,0.344,0.656,1141,76,47,73,18,
1982,Samsung Lions,25.8,5.31,80,3040,2649,425,705,126,18,57,374,,,307,350,0.266,0.347,0.392,0.739,1038,50,30,36,18,
1982,MBC Blue Dragons,28.1,5.24,80,3060,2686,419,757,124,12,65,381,,,268,316,0.282,0.354,0.41,0.764,1100,56,47,32,27,
1982,OB Bears,24.6,4.99,80,3097,2745,399,778,137,23,57,362,,,247,254,0.283,0.349,0.412,0.762,1132,36,41,46,18,
1982,Haitai Tigers,24.8,4.68,80,2990,2665,374,696,110,14,84,332,,,235,296,0.261,0.328,0.408,0.736,1086,59,41,28,21,
1982,Lotte Giants,26.4,4.41,80,3062,2628,353,674,112,8,59,325,,,326,316,0.257,0.344,0.373,0.717,979,61,40,41,27,
1982,Sammi Superstars,24.3,3.78,80,2953,2653,302,637,117,20,40,272,,,221,371,0.24,0.304,0.345,0.648,914,44,29,31,19,